Site,Location,Latitude ?,Longitude ?,*Distance Between Sites (miles),*Distance Between Sites (km),Distance downstream (km)
1,Warm Springs,46.1937,-112.7677,0.00,0,0.00
2,Perkins,46.2087,-112.7700,3.16,5.1,5.10
3,Galen,46.2374,-112.7533,4.40,7.1,12.20
4,Racetrack,46.2655,-112.7442,4.40,7.1,19.30
5,Sager,46.3175,-112.7361,7.19,11.6,30.90
6,Deer Lodge,46.3826,-112.7380,8.68,14,44.90
7,Cattle Crk DL,46.4728,-112.7283,9.67,15.6,60.50
8,Garrison,46.4979,-112.7409,2.68,4.32,64.82
9,Gold Creek,46.5979,-112.9541,15.13,24.4,89.22
10,Bear Gulch,46.7005,-113.4405,34.16,55.1,144.32
11,Bonita,46.7235,113.5718,14.57,23.5,167.82
12,Turah,46.8263,-113.8140,18.10,29.2,197.02
13,Missoula,46.8671,-113.9838,11.66,18.8,215.82
